transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
ea1e6dd4-5926-4352-b75e-5a5192bd201e,EMP93032,GRNE-LSIA-808-MAN-1,transfer,1522.31,,,IT64M5617145615084708326317206,GB02I2893635347413173388345,10908.93,Salary payment Jan,2087-01-01T09:19:18
ae4125db-5912-45e7-b13e-a3a33609ddf1,KRNE-LLNR-7FE-DUI-0,EXT98276,transfer,939.42,,,DE33G3014440247163761738035,IT91Q9695829922067344591216173,8429.22,Rent payment Jan - Property Management Duisburg,2087-01-02T13:10:46
bb7aab1f-b7e9-4976-9e24-75b4893a0580,EMP67342,RCHR-MRCL-803-LYO-0,transfer,1841.38,,,IT40B9942448161701580592527802,FR81V6059962021111878623359,8193.14,Salary payment Jan,2087-01-02T14:51:27
291876c5-1b80-45e6-a74f-6ee820c614e0,LBRT-NTNA-7FF-ROI-0,DOM52982,transfer,1621.32,,,FR88N7641970690041568904999,IT58G4363973486150486231574767,32967.02,Rent payment Jan - Property Management Roissy-en-Brie,2087-01-02T15:05:49
e341277c-0c69-4b40-87e8-0cbc757f2bfd,EMP67896,TRRN-NCIO-7CD-MON-1,transfer,2559.26,,,IT37N8345373299658349641371391,IT39D9328500076177654639569,15403.88,Salary payment Jan,2087-01-02T17:25:40
fcf6e3cf-711e-4a69-bb41-3d69b12b25f3,EMP19898,DVSA-CRYS-7F7-CHI-1,transfer,5446.8,,,IT91Z1900362868160407672971411,US25P1094664569521193066150,45397.45,Salary payment Jan,2087-01-03T11:36:54
7894bfd4-aa06-40e4-bd6b-96e5121db46a,EMP74738,CLLT-ZCHR-7FA-RUE-0,transfer,5737.69,,,IT27Q2864749497878998709974430,FR67H1015963463086100916903,33872.81,Salary payment Jan,2087-01-03T12:28:48
5d3867e5-6301-42e0-8e9b-f7025c25e260,EMP70694,RBNS-JNEA-800-LON-0,transfer,3264.44,,,IT96S2457910756341729147781068,GB43J5902960469097258275024,15256.37,Salary payment Jan,2087-01-03T14:04:19
58a00c1f-5ba5-485d-85a8-92cc51c59d6a,CLLT-ZCHR-7FA-RUE-0,DOM52982,transfer,1045.15,,,FR67H1015963463086100916903,IT58G4363973486150486231574767,32827.66,Rent payment Jan - Immobiliare Services Rueil-Malmaison,2087-01-03T14:19:37
9c325c36-2afb-40a2-80bc-8fca40c964a4,SMMN-MTTH-7F9-LON-1,RES37379,transfer,3329.17,,,GB98O9422549416522873343957,IT88G1791929636143423771386058,90346.7,Rent payment Jan - Property Management London,2087-01-03T15:52:46
9e03d3da-ebf2-4542-b083-69dde8b6bedb,EMP82105,SMMN-MTTH-7F9-LON-1,transfer,18686.74,,,IT41D8774806444837308880942958,GB98O9422549416522873343957,109033.44,Salary payment Jan,2087-01-03T16:03:10
ac2c4c34-7fb2-40e8-bbde-2cb6ccbdc090,EMP48568,MNTO-GSTV-7FC-FAN-1,transfer,4242.14,,,IT53D6202293138124472619381145,IT90D3866691906001163971695,34026.93,Salary payment Jan,2087-01-03T17:34:00
8969f067-47c7-47c0-ad13-5143f8e02bd8,TRRN-NCIO-7CD-MON-1,EXT60132,transfer,746.86,,,IT39D9328500076177654639569,IT15X9011813708956678675954223,14657.02,Rent payment Jan - Property Management Monteforte d'Alpone,2087-01-04T09:15:23
3aa9ff8f-592d-4c12-96ad-f518efd8374d,CLLT-ZCHR-7FA-RUE-0,BTRBN94320,e-commerce,74.11,HarborLane Market,Google Pay,FR67H1015963463086100916903,IT26U2407701098013341505817729,32753.55,,2087-01-04T09:35:00
b1be223f-c2f8-4964-bd61-69af3b3587b7,BNNN-SSNU-808-REN-0,EXT40692,transfer,106.28,,,FR16V7834052673691749031285,IT25X9531939914515984375048960,1726.02,Rent payment Jan - Property Management Rennes,2087-01-04T11:03:06
670cc315-dfe9-4753-95d3-89332820afbe,EMP80852,LBRT-NTNA-7FF-ROI-0,transfer,4449.35,,,IT52M2353525045554277992340428,FR88N7641970690041568904999,37416.37,Salary payment Jan,2087-01-04T12:45:04
326e91aa-367f-497e-b1f4-90fdf34ca435,MNTO-GSTV-7FC-FAN-1,HOME15224,transfer,966.45,,,IT90D3866691906001163971695,IT57N1474738655242629208485167,33060.48,Rent payment Jan - Property Management Fano,2087-01-04T13:15:18
c5dff25f-a480-42a1-9c79-1b55eb226ad8,EMP97445,STNA-JNNF-7FE-RIV-1,transfer,2960.5,,,IT63V9137428702152792930013980,US08I3725946942963200957287,22099.12,Salary payment Jan,2087-01-04T14:52:28
