transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
00b7e7e4-f825-4411-b17f-cd924934b52e,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2928.52,,,IT72E5684265444671458208968216,US34D8467364103827609628734,24805.37,Salary payment Jan,2087-01-02T09:08:32
72f1f95a-81a7-4e04-9a31-2cec5b608d8b,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,647.81,,,FR62S8154009917998374978837,IT71E2882286304039447950146815,11653.45,Rent payment Jan - Appartamenti Italia Paris,2087-01-02T17:56:23
f9611fec-7840-4765-bbdb-cf31ae7fa07a,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,3030.52,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,14683.97,Salary payment Jan,2087-01-03T11:16:58
bd7ad0b6-9cf2-439d-aa40-78e1446f114b,EMP27275,WMRE-HNNL-809-OBE-0,transfer,606.8,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,3054.65,Salary payment Jan,2087-01-03T18:02:46
199d1baa-4a90-4d1a-90cc-3b4f23a9e8db,FXOX-RYNA-7D3-DES-1,APP60604,transfer,927.05,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,23878.32,Rent payment Jan - Abitazioni Plus Des Moines,2087-01-04T14:55:06
ade75804-4141-412c-93c2-4b6c8e0c013e,EMP94886,WHTI-LZBT-7CE-WAS-0,transfer,3065.72,,,IT29I1690630275171995573164427,US21O5655698930111181392105,16022.89,Salary payment Jan,2087-01-04T18:16:01
0e5e08c8-824c-41f5-8913-b6b27b7b611b,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,1028.42,,,US21O5655698930111181392105,IT57N1474738655242629208485167,14994.47,Rent payment Jan - Housing Partners,2087-01-04T18:37:01
e8e0d73e-9b79-48d3-958d-6de1dcb8393e,WMRE-HNNL-809-OBE-0,HOME24293,transfer,246.88,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,2807.77,Rent payment Jan - Real Estate Italia Ober-Ramstadt,2087-01-05T17:19:29
47685f52-e7a9-4caa-a513-e9cb748d441d,BTNO-NËLO-7D1-PAR-0,RES54681,transfer,977.33,,,FR06A1254311135512204987433,IT23D6634390131214534953879513,20143.06,Rent payment Jan - Stanza Agency Paris,2087-01-06T09:09:10
2bb85a33-5111-4d33-b45d-7115eb5e366c,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3111.93,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,23254.99,Salary payment Jan,2087-01-06T14:49:36
b3255cd9-1204-43bf-8137-10ee2b5ead29,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,3021.17,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,17705.14,Salary payment Feb,2087-02-02T16:51:18
b7b67736-be09-46ea-8648-1edfcb1b10ca,WMRE-HNNL-809-OBE-0,HOME24293,transfer,256.67,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,2551.1,Rent payment Feb - Real Estate Italia Ober-Ramstadt,2087-02-03T09:03:30
c23a817a-26ca-4a29-bcfd-04f636531189,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,547.51,,,FR62S8154009917998374978837,IT71E2882286304039447950146815,17157.63,Rent payment Feb - Appartamenti Italia Paris,2087-02-03T14:51:07
4366d338-064d-492b-837a-bad3fec45ecb,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2922.2,,,IT72E5684265444671458208968216,US34D8467364103827609628734,26800.52,Salary payment Feb,2087-02-03T16:06:33
42149f46-2665-40da-8ce6-dfa737c8d166,FXOX-RYNA-7D3-DES-1,APP60604,transfer,846.97,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,25953.55,Rent payment Feb - Abitazioni Plus Des Moines,2087-02-04T09:46:09
2884589e-1939-4c11-9b59-f36fb07e8e7e,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,984.2,,,US21O5655698930111181392105,IT57N1474738655242629208485167,14010.27,Rent payment Feb - Housing Partners,2087-02-05T13:36:02
0a457394-3164-4c15-9d74-1683206cb2a7,EMP27275,WMRE-HNNL-809-OBE-0,transfer,599.77,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,3150.87,Salary payment Feb,2087-02-05T15:43:06
3381bc51-0428-4347-aebb-bfa6cc5a46f1,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3071.74,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,26326.73,Salary payment Feb,2087-02-06T09:43:05
7d8293b9-d5c5-4153-8ac3-1fe339088fdc,EMP94886,WHTI-LZBT-7CE-WAS-0,transfer,3135.55,,,IT29I1690630275171995573164427,US21O5655698930111181392105,17145.82,Salary payment Feb,2087-02-06T11:30:33
ec9d4dfb-0618-4981-8946-a893a6d59fbe,BTNO-NËLO-7D1-PAR-0,RES54681,transfer,919.22,,,FR06A1254311135512204987433,IT23D6634390131214534953879513,25407.51,Rent payment Feb - Stanza Agency Paris,2087-02-06T15:31:38
49266685-f4f2-4fca-a6ae-71bc7d3d906a,WMRE-HNNL-809-OBE-0,BTMNT92210,direct debit,12.01,,,DE14Z3311879692123924005659,IT84A7683468429603721836967813,3138.86,Student streaming subscription fee,2087-02-14T13:15:00
bcaaa9df-7f70-4a53-b9e8-f218e710c6a8,BTNO-NËLO-7D1-PAR-0,BTCNT91857,transfer,1262.06,,,FR06A1254311135512204987433,IT40U2928932114833503374485473,24145.45,Annual property tax payment,2087-02-15T19:58:00
dbbc39d2-e8e3-4a63-b010-926e4ecdb026,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,3018.5,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,20176.13,Salary payment Mar,2087-03-02T12:55:43
41874107-1171-4f03-bcf8-c7f72d430614,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,549.31,,,FR62S8154009917998374978837,IT71E2882286304039447950146815,19626.82,Rent payment Mar - Appartamenti Italia Paris,2087-03-02T15:54:51
0b738975-c171-4bc0-bd15-03b3636c7242,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2907.38,,,IT72E5684265444671458208968216,US34D8467364103827609628734,28860.93,Salary payment Mar,2087-03-03T11:04:30
965637c4-f1a7-4ce3-bfca-41cf04851545,EMP27275,WMRE-HNNL-809-OBE-0,transfer,589.94,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,3728.8,Salary payment Mar,2087-03-03T16:04:57
01aa676e-d9ce-4c6a-8263-2443066cedbc,EMP94886,WHTI-LZBT-7CE-WAS-0,transfer,3108.67,,,IT29I1690630275171995573164427,US21O5655698930111181392105,20254.49,Salary payment Mar,2087-03-04T13:11:37
5762caff-a177-431e-8da8-152921c6e8b9,BTNO-NËLO-7D1-PAR-0,RES54681,transfer,932.3,,,FR06A1254311135512204987433,IT23D6634390131214534953879513,23213.15,Rent payment Mar - Stanza Agency Paris,2087-03-04T13:13:48
28eee3a3-5017-404a-ab6a-50473690fa9e,WMRE-HNNL-809-OBE-0,HOME24293,transfer,222.06,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,3506.74,Rent payment Mar - Real Estate Italia Ober-Ramstadt,2087-03-04T18:09:04
d6a70e64-cb6f-40b2-bcbc-64afdfe1ffd0,FXOX-RYNA-7D3-DES-1,APP60604,transfer,895.74,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,27965.19,Rent payment Mar - Abitazioni Plus Des Moines,2087-03-05T13:21:39
6f6a369a-8e7e-4cbe-810e-9277ab59f42c,BSQT-DNSE-7F1-PAR-1,BTTRN93269,direct debit,15.94,,,FR62S8154009917998374978837,IT67U8246956684006265626159466,19610.88,Staff scheduling app monthly fee,2087-03-05T14:12:00
55b5798a-e41f-403f-ab91-5f341bca1f67,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3073.12,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,26286.27,Salary payment Mar,2087-03-06T14:27:07
0dd716c9-1283-4860-8d79-0293b0732c66,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,906.57,,,US21O5655698930111181392105,IT57N1474738655242629208485167,19347.92,Rent payment Mar - Housing Partners,2087-03-06T16:05:30
3b4a28ce-fc70-4a43-ae3d-32f58858d1ce,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,2996.04,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,22606.92,Salary payment Apr,2087-04-01T15:00:16
261ab683-aaf3-498f-a71e-102c39c46fc7,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,569.87,,,FR62S8154009917998374978837,IT71E2882286304039447950146815,22037.05,Rent payment Apr - Appartamenti Italia Paris,2087-04-01T16:23:43
e52b3e7e-bac4-4243-b16d-1e970d9ffdca,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2915.52,,,IT72E5684265444671458208968216,US34D8467364103827609628734,30880.71,Salary payment Apr,2087-04-03T10:54:21
ccea6ac8-611c-4c83-a836-3a0d548ca2a4,EMP27275,WMRE-HNNL-809-OBE-0,transfer,601.16,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,4107.9,Salary payment Apr,2087-04-04T18:40:37
cb2edf2f-e67d-4b74-be41-2247fc2b08dd,EMP94886,WHTI-LZBT-7CE-WAS-0,transfer,3067.37,,,IT29I1690630275171995573164427,US21O5655698930111181392105,22415.29,Salary payment Apr,2087-04-05T14:20:42
36db1397-ee4c-4f47-ae4d-2995ae7b2627,WMRE-HNNL-809-OBE-0,HOME24293,transfer,241.47,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,3866.43,Rent payment Apr - Real Estate Italia Ober-Ramstadt,2087-04-05T14:24:38
88e5483d-40cb-4c7a-94f6-1356457663ac,FXOX-RYNA-7D3-DES-1,APP60604,transfer,884.37,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,29996.34,Rent payment Apr - Abitazioni Plus Des Moines,2087-04-05T17:24:20
4ccde72f-da8e-42b0-987f-370090e48c06,BTNO-NËLO-7D1-PAR-0,RES54681,transfer,961.09,,,FR06A1254311135512204987433,IT23D6634390131214534953879513,25325.18,Rent payment Apr - Stanza Agency Paris,2087-04-05T18:31:33
3c470d98-2680-4954-9a4d-4cf07f1decda,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3160.07,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,28485.25,Salary payment Apr,2087-04-06T09:14:25
133044ac-aad5-4eba-9bae-07f42619c1d4,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,971.22,,,US21O5655698930111181392105,IT57N1474738655242629208485167,21444.07,Rent payment Apr - Housing Partners,2087-04-06T11:21:26
9866889a-423e-484f-8f87-ccf53561936a,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,551.47,,,IT23H4471632444551507608672041,IT71E2882286304039447950146815,4720.5,Rent payment May - Appartamenti Italia Paris,2087-05-01T15:52:40
76be9561-e2d2-44f9-8901-2a05dfd9370e,WMRE-HNNL-809-OBE-0,HOME24293,transfer,247.24,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,3619.19,Rent payment May - Real Estate Italia Ober-Ramstadt,2087-05-03T10:54:41
22d0b095-958f-49d5-934a-89d0d85a114b,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,3005.97,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,25043.02,Salary payment May,2087-05-03T12:30:01
bb3828a7-8cc0-492c-a9ba-75f0b1f97694,EMP27275,WMRE-HNNL-809-OBE-0,transfer,598.32,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,4217.51,Salary payment May,2087-05-03T16:32:38
7d4906ab-0d16-40a9-b93b-f932bf8d0e01,FXOX-RYNA-7D3-DES-1,APP60604,transfer,894.31,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,29102.03,Rent payment May - Abitazioni Plus Des Moines,2087-05-04T10:15:40
51294e18-73f0-4f86-8d3e-11775fcc94ad,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2821.63,,,IT72E5684265444671458208968216,US34D8467364103827609628734,31923.66,Salary payment May,2087-05-04T16:55:34
478d1317-a03c-4bd5-89dc-3c04da03d6d5,BTNO-NËLO-7D1-PAR-0,RES54681,transfer,893.06,,,FR06A1254311135512204987433,IT23D6634390131214534953879513,27592.19,Rent payment May - Stanza Agency Paris,2087-05-05T09:00:13
01dfae8d-8a94-41b2-bc82-606e4ada4e6a,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3132.76,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,30724.95,Salary payment May,2087-05-06T12:49:08
cca055d2-ca83-4c91-b77e-1592c782162f,EMP94886,WHTI-LZBT-7CE-WAS-0,transfer,3155.76,,,IT29I1690630275171995573164427,US21O5655698930111181392105,24599.83,Salary payment May,2087-05-06T13:42:25
b7ab1c74-6858-4b98-a4a4-0b8bcf5d6aa9,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,857.97,,,US21O5655698930111181392105,IT57N1474738655242629208485167,23741.86,Rent payment May - Housing Partners,2087-05-07T17:02:29
08fa52c9-cd82-4ff4-8c42-7c1fb4a191c7,WHTI-LZBT-7CE-WAS-0,BTRBN94278,e-commerce,54.33,UrbanCart Marketplace,PayPal,US21O5655698930111181392105,IT94P1739639122573781600191105,23687.53,,2087-06-01T18:24:00
da247975-cf1b-4b79-b86b-5f684d32dd13,BSQT-DNSE-7F1-PAR-1,APP33021,transfer,622.4,,,FR62S8154009917998374978837,IT71E2882286304039447950146815,24420.62,Rent payment Jun - Appartamenti Italia Paris,2087-06-03T10:40:52
6002f2d9-34ad-415e-b3ae-dbb7e71dbde5,FXOX-RYNA-7D3-DES-1,APP60604,transfer,897.67,,,US34D8467364103827609628734,IT80Z4941408036578189240458564,31025.99,Rent payment Jun - Abitazioni Plus Des Moines,2087-06-03T10:48:40
a7820d19-b54c-43fe-8e9d-982aa0bd803b,EMP96499,FXOX-RYNA-7D3-DES-1,transfer,2827.89,,,IT72E5684265444671458208968216,US34D8467364103827609628734,33853.88,Salary payment Jun,2087-06-03T13:14:47
14967f79-471b-47c9-9bd5-f937c999c4ab,EMP40162,BSQT-DNSE-7F1-PAR-1,transfer,3004.84,,,IT87Z7156992256146731126863052,FR62S8154009917998374978837,27425.46,Salary payment Jun,2087-06-03T17:20:58
469892f2-a962-4024-92a0-62b9792d1975,EMP27275,WMRE-HNNL-809-OBE-0,transfer,593.16,,,IT11L3301135186725646672621407,DE14Z3311879692123924005659,4810.67,Salary payment Jun,2087-06-03T17:46:55
b8e8dcb3-4c77-4ead-a140-dfbe9d2f48ea,WHTI-LZBT-7CE-WAS-0,HOME15224,transfer,1022.92,,,US21O5655698930111181392105,IT57N1474738655242629208485167,22664.61,Rent payment Jun - Housing Partners,2087-06-04T13:20:07
3d5765da-e08c-4394-a075-ed6f93746547,WMRE-HNNL-809-OBE-0,HOME24293,transfer,235.86,,,DE14Z3311879692123924005659,IT96Y8609605987385430066724909,4574.81,Rent payment Jun - Real Estate Italia Ober-Ramstadt,2087-06-04T16:56:14
0528101a-8918-4103-b0f0-283b9e87ce3d,EMP33647,BTNO-NËLO-7D1-PAR-0,transfer,3038.96,,,IT44W9912568545718197732328742,FR06A1254311135512204987433,33763.91,Salary payment Jun,2087-06-06T13:20:07
